0,186,0.100000
0,1589,0.029713
0,1623,0.041496
0,1639,0.025615
0,1670,0.005635
0,1935,0.017930
0,1978,0.109119
0,2345,0.232582
0,2664,0.030225
0,2837,0.217725
0,3156,0.068135
0,3204,0.215164
0,3493,0.006660
1,309,0.100000
1,1300,0.022898
1,1530,0.006006
1,1589,0.168168
1,1614,0.044670
1,1640,0.037538
1,1646,0.085210
1,1712,0.003003
1,1904,0.063063
1,1910,0.023649
1,2022,0.127252
1,2139,0.000751
1,2424,0.194069
1,2664,0.111111
1,3013,0.021396
1,3510,0.027402
1,3667,0.063814
2,498,0.100000
2,1583,0.109496
2,1709,0.000969
2,2061,0.033915
2,3121,0.005814
2,3184,0.457364
2,3199,0.379845
2,3493,0.012597
3,71,0.100000
3,1529,0.023857
3,2883,0.019881
3,3082,0.902584
3,3121,0.011928
3,3408,0.015905
3,3492,0.025845
4,511,0.100000
4,1639,0.088029
4,1709,0.000333
4,2076,0.492164
4,3112,0.102701
4,3212,0.151384
4,3438,0.151384
4,3516,0.014005
5,830,0.100000
5,1525,0.164983
5,1623,0.821549
5,2874,0.013468
6,355,0.100000
6,1600,0.153846
6,1623,0.469231
6,1929,0.021154
6,3281,0.038462
6,3489,0.317308
7,355,0.100000
7,1529,0.090580
7,1709,0.010870
7,2973,0.217391
7,3136,0.074275
7,3489,0.099638
7,3510,0.398551
7,3633,0.108696
8,61,0.100000
8,1293,0.062625
8,1429,0.168337
8,1529,0.150301
8,1589,0.112224
8,1639,0.075150
8,1709,0.004509
8,1712,0.013026
8,1747,0.187876
8,3021,0.058617
8,3498,0.167335
9,46,0.100000
9,1440,0.142353
9,1529,0.009412
9,1596,0.265882
9,1709,0.003529
9,1747,0.256471
9,2664,0.208235
9,2750,0.016471
9,3441,0.065882
9,3495,0.031765
10,46,0.100000
10,1405,0.066806
10,1529,0.008351
10,1623,0.127349
10,1634,0.043841
10,1639,0.034795
10,1709,0.002088
10,1747,0.064718
10,1935,0.024356
10,2750,0.009743
10,2752,0.029228
10,2908,0.315936
10,3156,0.092554
10,3403,0.180237
11,208,0.100000
11,1524,0.337015
11,1529,0.028321
11,1573,0.032002
11,1589,0.190314
11,1621,0.095157
11,1632,0.222033
11,1712,0.001133
11,2463,0.059473
11,3282,0.034551
12,1072,0.100000
12,1417,0.070361
12,1583,0.020548
12,1728,0.088418
12,2664,0.221046
12,2697,0.039851
12,2707,0.189290
12,2718,0.019303
12,2908,0.282690
12,3127,0.068493
13,286,0.100000
13,1600,0.001976
13,1659,0.136705
13,1691,0.000395
13,1709,0.000395
13,2060,0.043461
13,2118,0.011853
13,2586,0.379297
13,2860,0.179376
13,2978,0.047017
13,2986,0.000790
13,3003,0.001976
13,3097,0.000790
13,3132,0.018965
13,3182,0.077440
13,3184,0.046622
13,3234,0.047017
13,3298,0.000790
13,3495,0.005136
14,46,0.100000
14,1600,0.025440
14,1623,0.238748
14,2070,0.219178
14,2706,0.297456
14,3138,0.219178
15,615,0.100000
15,1671,0.003210
15,1709,0.009631
15,1750,0.603531
15,2619,0.011236
15,2664,0.332263
15,3481,0.040128
16,401,0.100000
16,1575,0.233083
16,1639,0.375940
16,1747,0.142857
16,2664,0.218045
16,3495,0.030075
17,652,0.100000
17,1576,0.011312
17,1709,0.000754
17,1961,0.023379
17,2367,0.042232
17,2908,0.684766
17,3121,0.012066
17,3136,0.015083
17,3140,0.011312
17,3403,0.195324
17,3605,0.003771
18,217,0.100000
18,1573,0.080000
18,1682,0.009524
18,1689,0.003810
18,1930,0.007619
18,3534,0.899048
19,933,0.100000
19,1391,0.174319
19,1603,0.117769
19,1608,0.058106
19,1920,0.004669
19,2358,0.232425
19,2508,0.058885
19,2976,0.029053
19,3121,0.003113
19,3131,0.043580
19,3291,0.088197
19,3441,0.117769
19,3495,0.014008
19,3516,0.058106
20,217,0.100000
20,1528,0.060332
20,1711,0.001508
20,1965,0.096531
20,2114,0.009050
20,2883,0.096531
20,3121,0.013575
20,3136,0.004525
20,3496,0.006033
20,3534,0.711916
21,429,0.100000
21,1528,0.149051
21,1573,0.153117
21,1709,0.001355
21,1962,0.085366
21,2942,0.498645
21,3611,0.112466
22,832,0.100000
22,1385,0.112926
22,1547,0.066150
22,1693,0.000554
22,1699,0.000830
22,1709,0.000277
22,2586,0.265707
22,3130,0.053141
22,3154,0.128425
22,3349,0.371990
23,119,0.100000
23,1529,0.047893
23,1639,0.047893
23,1641,0.094828
23,1709,0.000958
23,1747,0.538314
23,2619,0.013410
23,2664,0.151341
23,3510,0.105364
24,620,0.100000
24,1478,0.043287
24,1529,0.008804
24,1639,0.073368
24,1776,0.164343
24,2027,0.099046
24,2488,0.164343
24,2894,0.013206
24,2986,0.008070
24,3121,0.005869
24,3140,0.066031
24,3285,0.049156
24,3286,0.044754
24,3408,0.005869
24,3409,0.030814
24,3493,0.039618
24,3534,0.166544
24,3627,0.016875
25,161,0.100000
25,1303,0.243690
25,1529,0.174064
25,1639,0.087032
25,1671,0.000870
25,1688,0.000435
25,1709,0.001305
25,1712,0.003481
25,1747,0.108790
25,1915,0.001305
25,2616,0.001741
25,3010,0.016101
25,3021,0.052219
25,3097,0.116188
25,3322,0.071802
25,3493,0.118364
25,3622,0.002611
26,345,0.100000
26,1529,0.020218
26,1627,0.123736
26,1639,0.020218
26,1642,0.037202
26,1709,0.002426
26,1747,0.050546
26,2136,0.355843
26,2561,0.008087
26,2614,0.002426
26,2616,0.000809
26,3431,0.367165
26,3585,0.011322
27,1159,0.100000
27,1646,0.009995
27,1709,0.000531
27,1977,0.147178
27,2064,0.118875
27,3548,0.723421
28,217,0.100000
28,1576,0.069716
28,1627,0.273285
28,1639,0.027886
28,1682,0.002231
28,1689,0.001673
28,1693,0.001673
28,1747,0.104573
28,1930,0.003346
28,2102,0.379253
28,2136,0.122699
28,3605,0.009481
28,3611,0.004183
29,275,0.100000
29,1429,0.182609
29,1528,0.179348
29,1529,0.108696
29,1573,0.123370
29,1623,0.008152
29,1639,0.054348
29,1671,0.001630
29,1709,0.003261
29,1712,0.003261
29,1747,0.101630
29,2616,0.002717
29,3010,0.020109
29,3021,0.063587
29,3463,0.015217
29,3474,0.132065
30,1004,0.100000
30,1518,0.056604
30,3289,0.377358
30,3304,0.566038
31,947,0.100000
31,1528,0.245753
31,1691,0.004530
31,1693,0.003398
31,1709,0.013590
31,1945,0.024915
31,1965,0.144960
31,2664,0.133635
31,2973,0.407701
31,3406,0.002265
31,3605,0.019253
32,236,0.100000
32,1623,0.190179
32,1709,0.001169
32,2664,0.045986
32,3112,0.166407
32,3113,0.321902
32,3136,0.042868
32,3154,0.166017
32,3351,0.065472
33,161,0.100000
33,1528,0.070175
33,1529,0.129955
33,1627,0.105913
33,1639,0.064977
33,1646,0.073424
33,1709,0.000650
33,1747,0.202729
33,2616,0.007797
